Business Name,Input Phone,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,SAB?,Match Status
,,KFC Yum! Center,(502) 690-9000,"1 Arena Plaza, Louisville, KY 40202, USA",Yes,Yes,Yes,No,
,,"ZUDIO - Guduvanchery, Chennai",088380 55120,"V326+4QW, 7, Grand Southern Trunk Rd, Nandivaram, Guduvancheri, Chennai, Tamil Nadu 603202, India",Yes,Yes,Yes,No,
,,Birkuchi,,"Birkuchi, Narengi Tinali, Guwahati, Assam, India",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,2520 N Andrews Avenue Extension,,"2520 N Andrews Avenue Extension, Fort Lauderdale, FL 33311, USA",Yes,Yes,Yes,No,
,,1000 Business Center Dr,,"1000 Business Center Dr, Lake Mary, FL 32746, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,118 West 76th Street,(212) 574-6965,"118 W 76th St, New York, NY 10023, USA",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,1301 Dredge Pl,,"1301 Dredge Pl, Wasilla, AK 99654, USA",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,615 Vanderbilt Ave,,"615 Vanderbilt Ave, Brooklyn, NY 11238, USA",Yes,No,Yes,No,
,,4711 Opus Dr #200,,"4711 Opus Dr #200, Colorado Springs, CO 80906, USA",Yes,No,Yes,No,
,,287 New Kings Rd,,"287 New Kings Rd, London SW6 4RE, UK",Yes,No,Yes,No,
,,1320 Weaver St,,"1320 Weaver St, Rawlins, WY 82301, USA",Yes,No,Yes,No,
,,1st Ave,,"1st Ave, Ambattur, Chennai, Tamil Nadu 600053, India",Yes,No,Yes,No,
,,Ramona,0161 441 9020,"40 Swan St, Manchester M4 5JG, UK",Yes,No,Yes,No,
,,6568 Woodward Ave Suite 100,,"6568 Woodward Ave Suite 100, Detroit, MI 48202, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,4831 US-42,,"4831 US-42, Ghent, KY 41045, USA",Yes,No,Yes,No,
,,723 Guess St,,"723 Guess St, Greenville, SC 29605, USA",Yes,No,Yes,No,
,,180 Tices Ln #105,,"A, 180 Tices Ln #105, East Brunswick, NJ 08816, USA",Yes,No,Yes,No,
,,47 Hamburg Tpke,,"47 Hamburg Tpke, Wayne, NJ 07470, USA",Yes,No,Yes,No,
,,3010 Bordentown Ave,,"3010 Bordentown Ave, Parlin, NJ 08859, USA",Yes,Yes,Yes,No,
,,388 Pompton Ave,,"388 Pompton Ave, Cedar Grove, NJ 07009, USA",Yes,Yes,Yes,No,
,,493 Norwood Rd,,"493 Norwood Rd, Norwood, London SE27 9DJ, UK",Yes,No,Yes,No,
,,764 Jefferson Ave,,"764 Jefferson Ave, Cliffside Park, NJ 07010, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,4537 Nucor Rd,,"4537 Nucor Rd, Crawfordsville, IN 47933, USA",Yes,Yes,Yes,No,
,,Manchester Square,,"Manchester Square, London, UK",Yes,Yes,Yes,No,
,,Laitumkhrah Post Office,0364 222 1914,"HVCW+HC5, Nongkynrih, Laitumkhrah, Shillong, Meghalaya 793003, India",Yes,No,Yes,No,
,,129-131 Notting Hill Gate,,"129-131 Notting Hill Gate, London W11 3LB, UK",Yes,Yes,Yes,No,
,,45 Turnham Green Terrace,,"45 Turnham Green Terrace, Chiswick, London W4 1RG, UK",Yes,Yes,Yes,No,
,,9 Cale St,,"9 Cale St, London SW3 3QS, UK",Yes,No,Yes,No,
,,53 Abbeville Rd,,"53 Abbeville Rd, London SW4 9JX, UK",Yes,No,Yes,No,
,,59 Cadogan St,,"59 Cadogan St, London SW3 2QJ, UK",Yes,No,Yes,No,
,,250 Willis Cres,,"250 Willis Cres, Saskatoon, SK S7T 0V2, Canada",Yes,No,Yes,No,
,,The Keg Steakhouse + Bar - Saskatoon Brighton,(306) 244-0024,"143 Gibson Bnd, Saskatoon, SK S7V 0V2, Canada",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,1803 Idylwyld Dr N,,"1803 Idylwyld Dr N, Saskatoon, SK S7L 1B6, Canada",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,,,,,,,N/A,No result found
,,,,,,,,N/A,No result found
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,North Ave,,"North Ave, Korattur, Chennai, Tamil Nadu 600080, India",Yes,No,Yes,No,
,,Rajaji Rd,,"Rajaji Rd, Chennai, Tamil Nadu, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
